province;red;green;blue;x;x
3704;159;214;0;Goxha;x
3705;146;214;0;Gaxnodizu;x
3706;140;214;0;Sezpode;x
3707;136;214;0;Xatekenland;x
3708;119;214;0;Menahxujat;x
3709;115;214;0;Fiyqomkib;x
3710;113;214;0;Dovowpe;x
3711;110;214;0;Bec;x
3712;107;214;0;Fevlik;x
3713;104;214;0;Focvaqvithe;x
3714;95;214;0;Muniland;x
3715;91;214;0;Vapodziv;x
3716;72;214;0;Yunur;x
3717;71;214;0;Hivutbu;x
3718;69;214;0;Rebruniz;x
3719;64;214;0;Sakamramin;x
3720;61;214;0;Mixux;x
3721;59;214;0;Maqkexlavjod;x
3722;54;214;0;Xishaqbi;x
3723;51;214;0;Femusoy;x
3724;50;214;0;Qozpu;x
3725;44;214;0;Denlakem;x
3726;39;214;0;Dihufza;x
3727;38;214;0;Sapcilse;x
3728;35;214;0;Nutcedsokilland;x
3729;31;214;0;Biycudos;x
3730;26;214;0;Labnucyak;x
3731;18;214;0;Yazwixfed;x
3732;15;214;0;Jafo;x
3733;12;214;0;Hoddeland;x
3734;10;214;0;Zibwa;x
3735;5;214;0;Bo;x
3736;2;214;0;Mizwajguscexi;x
3737;248;213;0;Hutuqad;x
3738;245;213;0;Yeqya;x
3739;244;213;0;Ritalom;x
3740;237;213;0;Labal;x
3741;229;213;0;Mirkocna;x
3742;228;213;0;Bitjofow;x
3743;222;213;0;Huki;x
3744;220;213;0;Fore;x
3745;214;213;0;Gonela;x
3746;206;213;0;Deckiqo;x
3747;203;213;0;Vuzzimte;x
3748;190;213;0;Visemin;x
3749;186;213;0;Cofluxis;x
3750;185;213;0;Qumomye;x
3751;178;213;0;Rugazu;x
3752;168;213;0;Gehdomo;x
3753;166;213;0;Fodcucismo;x
3754;165;213;0;Yohqele;x
3755;161;213;0;Voqef;x
3756;159;213;0;Zoxfulgufa;x
3757;158;213;0;Savufpewgihfi;x
3758;138;213;0;Fadkeypur;x
3759;135;213;0;Yobe;x
3760;134;213;0;Jitodupu;x
3761;128;213;0;Ha;x
3762;124;213;0;Subxerohnoq;x
3763;120;213;0;Fezdixoli;x
3764;117;213;0;Dajago;x
3765;111;213;0;Jufwulminotland;x
3766;106;213;0;Pujmeferbozxo;x
3767;103;213;0;Gixuqahpec;x
3768;95;213;0;Deyujjagxazvif;x
3769;89;213;0;Hopofqir;x
3770;87;213;0;Pawgu;x
3771;83;213;0;Kavfu;x
3772;81;213;0;Rirke;x
3773;77;213;0;Wupi;x
3774;76;213;0;Dufe;x
3775;73;213;0;Mahyuqeycuy;x
3776;70;213;0;Lanujiyce;x
3777;63;213;0;Kujxebe;x
3778;62;213;0;Tacpi;x
3779;59;213;0;Cenmub;x
3780;56;213;0;Di;x
3781;54;213;0;La;x
3782;52;213;0;Bemihihev;x
3783;47;213;0;Rizuland;x
3784;43;213;0;Dihu;x
3785;39;213;0;Kikbuleg;x
3786;32;213;0;Lefhab;x
3787;23;213;0;Zaymoqne;x
3788;22;213;0;Wodocema;x
3789;20;213;0;Heygocuyaq;x
3790;18;213;0;Lagxemodfas;x
3791;12;213;0;Zulecul;x
3792;11;213;0;Quqbuc;x
3793;10;213;0;Hirkiyaland;x
3794;7;213;0;Gixyiw;x
3795;6;213;0;Ru;x
3796;255;212;0;Ze;x
3797;249;212;0;Nifexbe;x
3798;243;212;0;Calox;x
3799;241;212;0;Mujtormigog;x
3800;240;212;0;Kewin;x
3801;231;212;0;Fowkigigland;x
3802;230;212;0;Hihwo;x
3803;228;212;0;Xeha;x
3804;226;212;0;Zazhoyheland;x
3805;212;212;0;Tollabuc;x
3806;209;212;0;Yuczi;x
3807;208;212;0;Bacru;x
3808;200;212;0;Borgujo;x
3809;194;212;0;Kadita;x
3810;193;212;0;Saqep;x
3811;188;212;0;Wuwug;x
3812;186;212;0;Xiluweland;x
3813;179;212;0;Vorixpikumdu;x
3814;177;212;0;Quwaftir;x
3815;174;212;0;Qijcongegow;x
3816;171;212;0;Bevej;x
3817;168;212;0;Vupophax;x
3818;164;212;0;Vexunol;x
3819;161;212;0;Yohroxi;x
3820;159;212;0;Qunizov;x
3821;156;212;0;Zoxacza;x
3822;153;212;0;Kuvibehwo;x
3823;148;212;0;Kukez;x
3824;147;212;0;Qibe;x
3825;145;212;0;Zehbezakniti;x
3826;135;212;0;Koqa;x
3827;129;212;0;Zeqewdi;x
3828;127;212;0;Xiqqidizmu;x
3829;121;212;0;Yifisgel;x
3830;115;212;0;Qamerzum;x
3831;107;212;0;Zetpoz;x
3832;96;212;0;Pocqiy;x
3833;90;212;0;Cuvhiptoxo;x
3834;88;212;0;Vazbi;x
3835;84;212;0;Nodupdedfey;x
3836;83;212;0;Xuvrox;x
3837;81;212;0;Wonnifede;x
3838;76;212;0;Dinosokland;x
3839;70;212;0;Waduqge;x
3840;69;212;0;Fuyuye;x
3841;61;212;0;Midwobcardu;x
3842;59;212;0;Zaxpire;x
3843;39;212;0;Tacumo;x
3844;33;212;0;Yoninkuximxi;x
3845;25;212;0;Pekewda;x
3846;24;212;0;Napnoyarland;x
3847;22;212;0;Vothisteya;x
3848;21;212;0;Jiznekaxnaxom;x
3849;18;212;0;Gilxarmus;x
3850;9;212;0;Detuwaronpuk;x
3851;6;212;0;Jupzavhow;x
3852;255;211;0;Hekuxha;x
3853;254;211;0;Zoyavjefgodland;x
3854;244;211;0;Liwpumawume;x
3855;239;211;0;Weqvojvit;x
3856;237;211;0;Tozhimsonun;x
3857;227;211;0;Visbecpa;x
3858;225;211;0;Zoz;x
3859;224;211;0;Rece;x
3860;212;211;0;Hitegohkoy;x
3861;207;211;0;Negrutzipda;x
3862;204;211;0;Vahrogasdergu;x
3863;195;211;0;Lazoland;x
3864;191;211;0;Piwpabjukzo;x
3865;167;211;0;Pigahseqa;x
3866;140;211;0;Fuduwlor;x
3867;138;211;0;Hamuplicmu;x
3868;136;211;0;Potjil;x
3869;133;211;0;Rinqiyyav;x
3870;129;211;0;Wosehalibeh;x
3871;119;211;0;Jube;x
3872;106;211;0;Qejot;x
3873;96;211;0;Cohwohozsijey;x
3874;94;211;0;Qekeccutzo;x
3875;82;211;0;Nastabniteland;x
3876;77;211;0;Baswilijasro;x
3877;75;211;0;Mipowiq;x
3878;70;211;0;Lusvuppobyi;x
3879;69;211;0;Fuqjuzabu;x
3880;43;211;0;Tuyitofpow;x
3881;40;211;0;Femuyibland;x
3882;35;211;0;Nahiva;x
3883;29;211;0;Sobloyugcaland;x
3884;25;211;0;Luhivwe;x
3885;17;211;0;Girfe;x
3886;16;211;0;Xiwfu;x
3887;6;211;0;Gocjuromyi;x
3888;1;211;0;Lequybiza;x
3889;254;210;0;Qayuyze;x
3890;249;210;0;Zepyepyi;x
3891;242;210;0;Janhici;x
3892;235;210;0;Repbicfiland;x
3893;227;210;0;Hebok;x
3894;222;210;0;Henaje;x
3895;219;210;0;Misabic;x
3896;209;210;0;Xifhijo;x
3897;206;210;0;Galodedasuv;x
3898;204;210;0;Xezlupyaf;x
3899;201;210;0;Hefuqluy;x
3900;189;210;0;Qekcajwi;x
3901;187;210;0;Puclulsu;x
3902;181;210;0;Jaquland;x
3903;180;210;0;Titimsub;x
3904;179;210;0;Qipudrivix;x
3905;167;210;0;Rahiybuze;x
3906;164;210;0;Sicuqelib;x
3907;161;210;0;Webmujiwi;x
3908;157;210;0;Witohorki;x
3909;147;210;0;Jiyo;x
3910;138;210;0;Xefwazude;x
3911;134;210;0;Xafelyimo;x
3912;130;210;0;Fosa;x
3913;129;210;0;Kurujuh;x
3914;109;210;0;Ruvihse;x
3915;92;210;0;Rube;x
3916;91;210;0;Todjorutasa;x
3917;90;210;0;Folya;x
3918;83;210;0;Cohuxi;x
3919;81;210;0;Cufles;x
3920;70;210;0;Zumi;x
3921;63;210;0;Hi;x
3922;57;210;0;Vimwawuznog;x
3923;41;210;0;Xarbaland;x
3924;39;210;0;Feg;x
3925;35;210;0;Fiynafilo;x
3926;33;210;0;Dageh;x
3927;32;210;0;Cohuhu;x
3928;28;210;0;Purutbuland;x
3929;24;210;0;Tuvmibipne;x
3930;21;210;0;Fayolcaz;x
3931;17;210;0;Lewivi;x
3932;16;210;0;Yile;x
3933;12;210;0;Seknefolland;x
3934;8;210;0;Gohriwug;x
3935;254;209;0;Nawxij;x
3936;253;209;0;Paveqdac;x
3937;251;209;0;Tikuzo;x
3938;247;209;0;Bisebdi;x
3939;239;209;0;Zodbag;x
3940;228;209;0;Zakvafak;x
3941;227;209;0;Givlanaykoland;x
3942;221;209;0;Daxepo;x
3943;219;209;0;Jokefuyro;x
3944;201;209;0;Hip;x
3945;185;209;0;Vazoxbirihfe;x
3946;180;209;0;Suyqoye;x
3947;179;209;0;Wixroqwicwa;x
3948;171;209;0;Gicyemyisle;x
3949;157;209;0;Tep;x
3950;156;209;0;Siffisa;x
3951;155;209;0;Fubjuvyuzu;x
3952;153;209;0;Yizodaq;x
3953;144;209;0;Vapyuyowti;x
3954;141;209;0;Naherdij;x
3955;125;209;0;Neqiwniq;x
3956;107;209;0;Woda;x
3957;87;209;0;Dahe;x
3958;79;209;0;Nejodpi;x
3959;75;209;0;Mibdex;x
3960;72;209;0;Gixnuki;x
3961;71;209;0;Gupqujoji;x
3962;64;209;0;Hufu;x
3963;63;209;0;Bepet;x
3964;60;209;0;Gohobfiy;x
3965;50;209;0;Foqitxaqyaj;x
3966;46;209;0;Luxsus;x
3967;44;209;0;Zecekqoland;x
3968;37;209;0;Tuwbullik;x
3969;35;209;0;Neylipivland;x
3970;21;209;0;Kasuvox;x
3971;17;209;0;Nab;x
3972;6;209;0;Nebsixek;x
3973;4;209;0;Walmejtek;x
3974;3;209;0;Layaxisyisu;x
3975;249;208;0;Yafhofye;x
3976;247;208;0;Xucavoje;x
3977;233;208;0;Kenovsiz;x
3978;231;208;0;Qusdehgetu;x
3979;229;208;0;Vubefgop;x
3980;227;208;0;Hovjivilgat;x
3981;223;208;0;Timtig;x
3982;220;208;0;Tisiba;x
3983;217;208;0;Zokicoc;x
3984;216;208;0;Bila;x
3985;215;208;0;Qethiftujpik;x
3986;201;208;0;Wovamepdu;x
3987;188;208;0;Miwcudu;x
3988;187;208;0;Nucrogagwilce;x
3989;183;208;0;Vaqijce;x
3990;182;208;0;Je;x
3991;168;208;0;Hawewa;x
3992;164;208;0;Qaxitodmucland;x
3993;159;208;0;Zutef;x
3994;154;208;0;Kuseju;x
3995;152;208;0;Jukhugno;x
3996;150;208;0;Hetwu;x
3997;145;208;0;Jekgavuni;x
3998;143;208;0;Vagesecev;x
3999;129;208;0;Desegtol;x
4000;126;208;0;Jake;x
4001;124;208;0;Qayquryewgayu;x
4002;122;208;0;Vapwavifsiv;x
4003;113;208;0;Benyekoj;x
4004;109;208;0;Hitulol;x
4005;106;208;0;Pahmihe;x
4006;102;208;0;Madvabhi;x
4007;101;208;0;Bulke;x
4008;99;208;0;Tugfadhig;x
4009;97;208;0;Love;x
4010;96;208;0;Pasjedujdaj;x
4011;94;208;0;Tapoq;x
4012;92;208;0;Gaxgo;x
4013;91;208;0;Qedivudfe;x
4014;88;208;0;Medesce;x
4015;85;208;0;Julgixilu;x
4016;83;208;0;Zixih;x
4017;82;208;0;Heccoqeq;x
4018;80;208;0;Litpogpem;x
4019;73;208;0;Hoqaf;x
4020;69;208;0;Roza;x
4021;60;208;0;Fijneh;x
4022;59;208;0;Tozajqa;x
4023;57;208;0;Fuvegav;x
4024;52;208;0;Gucahridoh;x
4025;44;208;0;Vicehu;x
4026;36;208;0;Kayyixxabland;x
4027;25;208;0;Nohek;x
4028;24;208;0;Wewoxyarme;x
4029;22;208;0;Lepumazberbuh;x
4030;13;208;0;Nitire;x
4031;12;208;0;Lotosof;x
4032;11;208;0;Hemce;x
4033;5;208;0;Kehizyed;x
4034;253;207;0;Lurala;x
4035;249;207;0;Cevbagalland;x
4036;245;207;0;Ca;x
4037;238;207;0;Liqpamuwoy;x
4038;221;207;0;Nexwom;x
4039;215;207;0;Xuguviqeyland;x
4040;209;207;0;Pipoypimom;x
4041;205;207;0;Licehtafitu;x
4042;184;207;0;Riyuyeyamland;x
4043;183;207;0;Yakcaj;x
4044;178;207;0;Dibogafland;x
4045;176;207;0;Pelnadutkuland;x
4046;171;207;0;Pinmenu;x
4047;165;207;0;Doforuj;x
4048;150;207;0;Qetzejbagu;x
4049;146;207;0;Pidolwat;x
4050;144;207;0;Vu;x
4051;141;207;0;Vahufed;x
4052;117;207;0;Zu;x
4053;114;207;0;Puhiwtaj;x
4054;99;207;0;Dopdexxi;x
4055;90;207;0;Muwo;x
4056;89;207;0;Doc;x
4057;87;207;0;Tucetev;x
4058;85;207;0;Xet;x
4059;79;207;0;Vazcoxnix;x
4060;75;207;0;Puwdavfaswe;x
4061;73;207;0;Sipokdijo;x
4062;66;207;0;Dirsozwivwik;x
4063;56;207;0;Yofujigu;x
4064;55;207;0;Buftef;x
4065;54;207;0;Wiyrelaw;x
4066;52;207;0;Mivelnodhu;x
4067;50;207;0;Zev;x
4068;43;207;0;Gubwivral;x
4069;38;207;0;Ganjovtelpoqses;x
4070;30;207;0;Wovivjulek;x
4071;28;207;0;Ziyijbotko;x
4072;26;207;0;Wizadolop;x
4073;24;207;0;Duqland;x
4074;23;207;0;Havehoz;x
4075;19;207;0;Vayqar;x
4076;15;207;0;Fedbopel;x
4077;9;207;0;Ragenqedo;x
4078;3;207;0;Tivtudax;x
4079;1;207;0;Gidso;x
4080;0;207;0;Jiholi;x
4081;254;206;0;Dackomnet;x
4082;247;206;0;Giyoxbe;x
4083;245;206;0;Xezohgawgih;x
4084;240;206;0;Yahzuf;x
4085;234;206;0;Vablami;x
4086;233;206;0;Yadposa;x
4087;232;206;0;Dazoysed;x
4088;229;206;0;Tuvyimodi;x
4089;226;206;0;Zoxubjadterul;x
4090;224;206;0;Kofyi;x
4091;220;206;0;Xolrozefo;x
4092;219;206;0;Ropavix;x
4093;217;206;0;Xixyuchu;x
4094;215;206;0;Kuyo;x
4095;213;206;0;Gawechasbe;x
4096;209;206;0;Xizilnanfa;x
4097;202;206;0;Butdogpaland;x
4098;199;206;0;Decuzwoqu;x
4099;189;206;0;Roszoqesgijux;x
4100;187;206;0;Dokoxadgaxqus;x
4101;184;206;0;Basuqil;x
4102;183;206;0;Mixevtus;x
4103;177;206;0;Damifof;x
4104;173;206;0;Beklenefa;x
4105;169;206;0;Cokivi;x
4106;158;206;0;Hikhoj;x
4107;153;206;0;Borsaq;x
4108;151;206;0;Gazurogmah;x
4109;146;206;0;Kibje;x
4110;143;206;0;Radpugjozland;x
4111;140;206;0;Fuxkelit;x
4112;135;206;0;Go;x
4113;131;206;0;Zaboni;x
4114;130;206;0;Nifoyrigkiq;x
4115;119;206;0;Kighanland;x
4116;116;206;0;Xojuzuhazgo;x
4117;106;206;0;Wozduzi;x
4118;97;206;0;Melotuzuf;x
4119;94;206;0;Zukijojutnu;x
4120;87;206;0;Feknovland;x
4121;86;206;0;Jejqeylow;x
4122;78;206;0;Fa;x
4123;75;206;0;Vifraxkiya;x
4124;74;206;0;Xijvigjawuxer;x
4125;68;206;0;Fayarabvoq;x
4126;58;206;0;Bedkicuj;x
4127;54;206;0;Lu;x
4128;52;206;0;Haproqyaz;x
4129;47;206;0;Bulruhkin;x
4130;45;206;0;Fibtovtifbaq;x
4131;37;206;0;Peqedaqirveg;x
4132;29;206;0;Taymoxlabland;x
4133;23;206;0;Bevvikfukon;x
4134;7;206;0;Najra;x
4135;0;206;0;Sifbituh;x
4136;253;205;0;Hejo;x
4137;247;205;0;Hilvodsiru;x
4138;246;205;0;Qoceylofmiclaz;x
4139;245;205;0;Vogaland;x
4140;244;205;0;Qocasvoqkuland;x
4141;240;205;0;Jeqoxo;x
4142;233;205;0;Zupqusi;x
4143;229;205;0;Xefaluq;x
4144;219;205;0;Gelcozeq;x
4145;217;205;0;Qakufxuhit;x
4146;214;205;0;Dok;x
4147;199;205;0;Woyeyqipow;x
4148;187;205;0;Yisawu;x
4149;184;205;0;Wuwzohekland;x
4150;183;205;0;Zihsuya;x
4151;172;205;0;Bafeco;x
4152;165;205;0;Wotyiqbo;x
4153;157;205;0;Tuzaqqeysem;x
4154;156;205;0;Jiniqhef;x
4155;154;205;0;Zucewe;x
4156;126;205;0;Rohmo;x
4157;117;205;0;Rungamcuf;x
4158;110;205;0;Bekusuzlez;x
4159;109;205;0;Dogu;x
4160;100;205;0;Powxupo;x
4161;97;205;0;Difsoho;x
4162;94;205;0;Niqefu;x
4163;90;205;0;Xifado;x
4164;87;205;0;Co;x
4165;85;205;0;Cucefledom;x
4166;77;205;0;Hemi;x
4167;72;205;0;Selbed;x
4168;71;205;0;Vuyonri;x
4169;47;205;0;Xegok;x
4170;44;205;0;Nuhemix;x
4171;40;205;0;Haxbenoxsoc;x
4172;28;205;0;Pido;x
4173;21;205;0;Pijsewem;x
4174;20;205;0;Yanico;x
4175;19;205;0;Zoyuhpum;x
4176;16;205;0;Dungep;x
4177;15;205;0;Gefdipnu;x
4178;11;205;0;Ponquzsan;x
4179;6;205;0;Hege;x
4180;0;205;0;Ratuwobuc;x
4181;254;204;0;Yunkewar;x
4182;253;204;0;Yuwemfo;x
4183;249;204;0;Suvanhuw;x
4184;246;204;0;Mabqifbeland;x
4185;244;204;0;Dowza;x
4186;241;204;0;Sudnosafibland;x
4187;240;204;0;Woyopejeland;x
4188;239;204;0;Kikujmeti;x
4189;229;204;0;Vahani;x
4190;226;204;0;Nezdevuku;x
4191;224;204;0;Fagbociwgow;x
4192;217;204;0;Joland;x
4193;212;204;0;Vakude;x
4194;210;204;0;Catyojvufyi;x
4195;202;204;0;Dephaxatxomi;x
4196;187;204;0;Suqa;x
4197;186;204;0;Miweland;x
4198;182;204;0;Quvadec;x
4199;180;204;0;Xirsuqi;x
4200;168;204;0;Talahuzza;x
4201;158;204;0;Nekwihwu;x
4202;152;204;0;Jom;x
4203;151;204;0;Gervor;x
4204;149;204;0;Xisjatiwkes;x
4205;134;204;0;Sapwifodat;x
4206;133;204;0;Rolecguzsog;x
4207;124;204;0;Hodujxo;x
4208;118;204;0;Pezafroh;x
4209;112;204;0;Jozpaqporit;x
4210;96;204;0;Wognedeland;x
4211;95;204;0;Tejuca;x
4212;90;204;0;Lihuccin;x
4213;89;204;0;Zajhilemruland;x
4214;88;204;0;Yegogafo;x
4215;87;204;0;Nizxogay;x
4216;85;204;0;Tokto;x
4217;78;204;0;Zaqetiw;x
4218;65;204;0;Simnivni;x
4219;52;204;0;Kenucut;x
4220;46;204;0;Kicetvi;x
4221;38;204;0;Qorvoffefnax;x
4222;30;204;0;Fodno;x
4223;25;204;0;Mare;x
4224;15;204;0;Neknuzapyol;x
4225;13;204;0;Jadyalo;x
4226;9;204;0;Qotax;x
4227;8;204;0;Nownesbopsi;x
4228;6;204;0;Xekbihis;x
4229;1;204;0;Xafparen;x
4230;240;203;0;Jaghobdadyit;x
4231;210;203;0;Qezmewni;x
4232;209;203;0;Biceyland;x
4233;182;203;0;Nehiykeh;x
4234;177;203;0;Yocgadhudwat;x
4235;171;203;0;Timfimuland;x
4236;170;203;0;Voxcuvho;x
4237;168;203;0;Cumsujoxa;x
4238;167;203;0;Wujweta;x
4239;157;203;0;Jujafuwce;x
4240;153;203;0;Cebhawugumland;x
4241;148;203;0;Hetdu;x
4242;141;203;0;Cagrajaqkim;x
4243;139;203;0;Qekjarnehpi;x
4244;136;203;0;Lupidqeyland;x
4245;127;203;0;Miwbocova;x
4246;121;203;0;Gayevirkuj;x
4247;118;203;0;Pagam;x
4248;112;203;0;Harujuv;x
4249;109;203;0;Ramwatfuland;x
4250;108;203;0;Vurodabke;x
4251;100;203;0;Mohwojel;x
4252;94;203;0;Joziqwi;x
4253;90;203;0;Vobucwoland;x
4254;84;203;0;Lomxotbopfoland;x
4255;81;203;0;Wu;x
4256;74;203;0;Kagabbop;x
4257;69;203;0;Ligmes;x
4258;64;203;0;Xa;x
4259;47;203;0;Weju;x
4260;32;203;0;Wobdurixun;x
4261;31;203;0;Muwcosuc;x
4262;28;203;0;Ribcuti;x
4263;23;203;0;Paqa;x
4264;19;203;0;Bamirowo;x
4265;17;203;0;Qemini;x
4266;16;203;0;Pijlodver;x
4267;14;203;0;Jaksubror;x
4268;6;203;0;Hiqse;x
4269;4;203;0;Kantejfexjak;x
4270;3;203;0;Yigujzigwerland;x
4271;255;202;0;Mabace;x
4272;251;202;0;Wonzit;x
4273;248;202;0;Sajevho;x
4274;229;202;0;Qoggo;x
4275;228;202;0;Ziwujwus;x
4276;217;202;0;Ducxajitluhjiv;x
4277;215;202;0;Ho;x
4278;214;202;0;Jozli;x
4279;212;202;0;Yapexquqya;x
4280;209;202;0;Qiduqgi;x
4281;207;202;0;Kafdihib;x
4282;204;202;0;Qehlocvalgo;x
4283;196;202;0;Genjawek;x
4284;183;202;0;Vuzahsehe;x
4285;179;202;0;Sepahoc;x
4286;176;202;0;Guwaxas;x
4287;173;202;0;Rirlul;x
4288;170;202;0;Kosu;x
4289;168;202;0;Wureg;x
4290;167;202;0;Humjippigti;x
4291;166;202;0;Ruwenoland;x
4292;165;202;0;Pohko;x
4293;162;202;0;De;x
4294;161;202;0;Xini;x
4295;153;202;0;Koslobland;x
4296;151;202;0;Vesfifupland;x
4297;139;202;0;Viyjoxjufgi;x
4298;138;202;0;Sep;x
4299;132;202;0;Filgabburjaswe;x
4300;128;202;0;Zolladqara;x
4301;125;202;0;Hugoqo;x
4302;124;202;0;Zujalland;x
4303;119;202;0;Rawa;x
4304;106;202;0;Nenhupakdamu;x
4305;104;202;0;Juwatqaxland;x
4306;101;202;0;Coyedqodqa;x
4307;100;202;0;Dalopvebhivland;x
4308;98;202;0;Torhohja;x
4309;96;202;0;Wicohce;x
4310;90;202;0;Coploy;x
4311;89;202;0;Ciwki;x
4312;85;202;0;Cu;x
4313;72;202;0;Sifkoynivev;x
4314;71;202;0;Lisu;x
4315;69;202;0;Gunqani;x
4316;64;202;0;Yerlazici;x
4317;56;202;0;Teytel;x
4318;51;202;0;Xotu;x
4319;49;202;0;Ditnar;x
4320;43;202;0;Zupya;x
4321;42;202;0;Tila;x
4322;39;202;0;Buleyjudiryo;x
4323;36;202;0;Noyerwiland;x
4324;31;202;0;Zuyoxetivso;x
4325;12;202;0;Geymosaq;x
4326;7;202;0;Mohrimheland;x
4327;4;202;0;Kixaga;x
4328;252;201;0;Halxa;x
4329;249;201;0;Fohuhij;x
4330;248;201;0;Fitfuvoh;x
4331;243;201;0;Ralazudem;x
4332;235;201;0;Te;x
4333;228;201;0;Huvze;x
4334;221;201;0;Taddosi;x
4335;218;201;0;Ya;x
4336;216;201;0;Rupix;x
4337;211;201;0;Secfalkonjas;x
4338;209;201;0;Yeweb;x
4339;199;201;0;Jifelgayom;x
4340;196;201;0;Tuy;x
4341;191;201;0;Volnajcipwuland;x
4342;183;201;0;Megazze;x
4343;176;201;0;Tosvoczefvi;x
4344;175;201;0;Kugbammez;x
4345;157;201;0;Gazgedno;x
4346;154;201;0;Qopnu;x
4347;145;201;0;Kajixxubo;x
4348;140;201;0;Kirawegi;x
4349;138;201;0;Zeldaza;x
4350;136;201;0;Hovsas;x
4351;121;201;0;Tomzoqbulibland;x
4352;112;201;0;Xujfon;x
4353;109;201;0;Zanor;x
4354;103;201;0;Rer;x
4355;99;201;0;Bumnuga;x
4356;98;201;0;Sozuviquz;x
4357;90;201;0;Viskuze;x
4358;89;201;0;Gakophec;x
4359;86;201;0;Raranu;x
4360;85;201;0;Geweqkamah;x
4361;84;201;0;Rupeg;x
4362;82;201;0;Nudiyajo;x
4363;78;201;0;Bopefa;x
4364;74;201;0;Jerpagu;x
4365;68;201;0;Yetisohe;x
4366;66;201;0;Wabuqyow;x
4367;65;201;0;Hicuna;x
4368;56;201;0;Gihokax;x
4369;52;201;0;Ruva;x
4370;47;201;0;Folcono;x
4371;46;201;0;Zexyedqofod;x
4372;43;201;0;Keffukebland;x
4373;42;201;0;Kogugwoland;x
4374;37;201;0;Zidoda;x
4375;31;201;0;Fubisyi;x
4376;28;201;0;Mehbiduzco;x
4377;26;201;0;Baxxibegnoland;x
4378;22;201;0;Hosyudvaybe;x
4379;18;201;0;Guco;x
4380;17;201;0;Jadyo;x
4381;15;201;0;Lih;x
4382;7;201;0;Jamo;x
4383;5;201;0;Juxnoland;x
4384;255;200;0;Ruxi;x
4385;251;200;0;Meroxo;x
4386;244;200;0;Bodogloncuz;x
4387;243;200;0;Pabexxa;x
4388;242;200;0;Jom;x
4389;239;200;0;Bakurepuq;x
4390;229;200;0;Keqfopducxifey;x
4391;209;200;0;Perivocqov;x
4392;208;200;0;Debset;x
4393;207;200;0;Nobnuwdo;x
4394;205;200;0;Navuwijaqkon;x
4395;202;200;0;Denavra;x
4396;200;200;0;Punuje;x
4397;195;200;0;Jofolfex;x
4398;189;200;0;Qidespiz;x
4399;177;200;0;Xijobuc;x
4400;170;200;0;Qaqri;x
4401;167;200;0;Zawkemtu;x
4402;166;200;0;Rifpafnatiz;x
4403;164;200;0;Gimezutdiwland;x
4404;163;200;0;Wospamor;x
4405;162;200;0;Huyevafon;x
4406;161;200;0;Paxge;x
4407;159;200;0;Wuqacdowe;x
4408;154;200;0;Foqexuland;x
4409;153;200;0;Lin;x
4410;139;200;0;Yehucisa;x
4411;127;200;0;Rukefzaz;x
4412;120;200;0;Foxfofsap;x
4413;113;200;0;Birbanxek;x
4414;109;200;0;Kuyawligiland;x
4415;104;200;0;Xi;x
4416;82;200;0;Sowducohwod;x
4417;78;200;0;Jugkuzdu;x
4418;76;200;0;Cakonwevqeptoq;x
4419;74;200;0;Ramihacuxug;x
4420;64;200;0;Dojgele;x
4421;50;200;0;Difbijyoywige;x
4422;44;200;0;Wafsiplefcu;x
4423;43;200;0;Viqbi;x
4424;38;200;0;Sunnelizvabin;x
4425;37;200;0;Wefunqoszove;x
4426;35;200;0;Qelehpanzoland;x
4427;27;200;0;Peluye;x
4428;18;200;0;Wekzetle;x
4429;17;200;0;Yokaland;x
4430;11;200;0;Qitrizusugex;x
4431;10;200;0;Wenti;x
4432;7;200;0;Lukoqaqev;x
4433;1;200;0;Dejdeyo;x
4434;255;199;0;Hitvudi;x
4435;252;199;0;Bowko;x
4436;250;199;0;Buja;x
4437;249;199;0;Wumada;x
4438;239;199;0;Joteqbiland;x
4439;235;199;0;Pifriq;x
4440;225;199;0;Tigtugliwwevum;x
4441;223;199;0;Pispinqeqxa;x
4442;222;199;0;Mewujki;x
4443;213;199;0;Daqyip;x
4444;211;199;0;Bufupu;x
4445;210;199;0;Kejguslepland;x
4446;204;199;0;Zekcowzi;x
4447;196;199;0;Kunexadoctuy;x
4448;192;199;0;Humeyyobland;x
4449;182;199;0;Ditihva;x
4450;179;199;0;Yuyox;x
4451;178;199;0;Nerafle;x
4452;176;199;0;Dumaktoke;x
4453;173;199;0;Revu;x
4454;169;199;0;Roviz;x
4455;168;199;0;Kajsufwoj;x
4456;148;199;0;Tegyenirgibland;x
4457;137;199;0;Yupaje;x
4458;136;199;0;Duxqoxi;x
4459;134;199;0;Sibuko;x
4460;129;199;0;Fezagujom;x
4461;128;199;0;Vuwpoplanah;x
4462;122;199;0;Pizopho;x
4463;118;199;0;Jajoso;x
4464;115;199;0;Durunhujka;x
4465;114;199;0;Ramaqu;x
4466;101;199;0;Vose;x
4467;58;199;0;Vazixhuyabpa;x
4468;57;199;0;Mecu;x
4469;52;199;0;Beyegume;x
4470;49;199;0;Fohegegvaw;x
4471;45;199;0;Laqhej;x
4472;42;199;0;Wulbivdiziy;x
4473;37;199;0;Zadadso;x
4474;36;199;0;Guxidland;x
4475;21;199;0;Wofoglezix;x
4476;16;199;0;Sehoh;x
4477;15;199;0;Rubvodpohle;x
